english_sentence,isl_gloss
"GOVERNMENT OF TAMILNADU SCIENCE A Publication under Free Textbook Programme of Government of Tamil Nadu Department of School Education STANDARD TEN Untouchability is Inhuman and a Crime Front page.indd 1 12/3/2022 3:20:54 PM www.tntextbooks.in Government of Tamil Nadu First Edition - 2019 Revised Edition - 2020, 2022, 2023 Reprint - 2021, 2024 (Published under New syllabus) Tamil NaduTextbook and Educational Services Corporation www.textbooksonline.tn.nic.in State Council of Educational Research and Training © SCERT 2019 Printing & Publishing Content Creation The wise possess all NOT FOR SALE II Front page.indd 2 Front page.indd 2 23/12/2023 16:13:14 23/12/2023 16:13:14 This book is developed in a holistic approach which inculcates comprehending and analytical skills.",WHICH SKILL DEVELOP GOVERNMENT TAMILNADU SCIENCE PUBLICATION FREE TEXTBOOK PROGRAMME TAMIL NADU DEPARTMENT SCHOOL EDUCATION STANDARD TEN UNTOUCHABILITY INHUMAN CRIME FRONT PM FIRST EDITION REVISE REPRINT PUBLISH NEW SYLLABUS NADUTEXTBOOK EDUCATIONAL SERVICE CORPORATION STATE COUNCIL RESEARCH TRAIN SCERT PRINT CONTENT CREATION WISE POSSESS ALL SALE II BOOK HOLISTIC APPROACH INCULCATE COMPREHEND ANALYTICAL SKILLS PAST PRESENT NOT
It will be helpfull for the students to understand higher secondary science in a better way and to prepare for competitive exams in future.,HELPFULL STUDENTS UNDERSTAND HIGHER SECONDARY SCIENCE BETTER WAY PREPARE COMPETITIVE EXAMS FUTURE
This textbook is designed in a learner centric way to trigger the thought process of students through activities and to make them excel in learning science.,THEY SCIENCE DESIGN TEXTBOOK LEARNER CENTRIC WAY TRIGGER THINK PROCESS STUDENTS ACTIVITIES MAKE EXCEL LEARN PAST
This book has 23 units.,BOOK UNIT HAVE UNITS PRESENT
Each unit has simple activities that can be demonstrated by the teacher and also few group activities are given for students to do under the guidance of the teacher.,STUDENT TEACHER HAVE UNIT SIMPLE ACTIVITIES DEMONSTRATE ALSO FEW GROUP GIVE STUDENTS GUIDANCE PRESENT PAST
Infographics and info-bits are added to enrich the learner’s scientific perception.,INFOGRAPHIC PERCEPTION ADD INFOGRAPHICS INFO BITS ENRICH LEARNER SCIENTIFIC PAST
The “Do you know?” and “More to know” placed in the units will be an eye opener.,KNOW UNIT MORE PLACE UNITS EYE OPENER PAST
Glossary has been introduced to learn scientific terms.,GLOSSARY TERM INTRODUCE LEARN SCIENTIFIC PAST
ICT corner and QR code are introduced in each unit for the digital native generation.,CORNER GENERATION INTRODUCE ICT QR CODE UNIT DIGITAL NATIVE PAST
III PREFACE HOW TO USE THE BOOK?,III USE BOOK HOW
Front page.indd 3 12/3/2022 3:20:54 PM IV B.Sc.,FRONT PM IV
Agriculture Science B.Sc.,AGRICULTURE SCIENCE
Horticulture B.Sc.,HORTICULTURE
Forestry B.Tech Agricultural Engineering Agriculture Courses| (4 years) Nursing Pharmacy Anaesthesia Technician Cardiac Technician Dental Mechanic Health Inspector Medical imaging & tech Medical Lab Tech Medical X-ray Tech Nuclear Medicine Tech Occupational therapist Operation Theatre Tech Ophthalmic Assistant Physiotherapy Radiographic Assistant Radiotherapy Tech Rehabilitation Tech Respiratory Therapy Tech Blood Transfusion Tech MBBS – Allopathy BSMS – Siddha BAMS - Ayurveda BUMS – Unani BHMS – Homeopathy BNYS – Naturopathy & Yoga BDS – Dental BVSc – Veterinary Aeronautical Engineering Aerospace Engineering Architecture Engineering Automobile Engineering Automation & Robotics Engineering Avionics Engineering Bio Medical Engineering Bio Technology Engineering Civil Engineering Chemical Engineering Ceramic Engineering Computer Science Engineering Construction Management & Technology Engineering Electronics and Communication Engineering Electrical and Electronics Engineering Environmental Science Engineering Information Science Engineering Industrial Engineering Industrial Production Engineering Instrumentation Technology Marine Engineering Medical Electronics Engineering Mechanical Engineering Mining Engineering Manufacturing Science Engineering Naval Architecture Polymer Technology Silk Technology Engineering Carpet Technology Engineering Textile Engineering Advertising BA-General Criminology Economics Fine Arts Foreign Languages Home Science Interior Design Journalism Library Sciences Physical Education Political Science Psychology Social Work Sociology Travel & Tourism Paramedical Diploma / UG 2/3 years Medical Course 5 years Engineering Courses B.E. / B.Tech 4 years Career Guidance Humanities 3 years Front page.indd 4 12/3/2022 3:20:55 PM V C.A CPT ATC IPCC ITT (100 Hours) Articleship (Work under in CA) Clear Final Exam Become a C.A.,EXAM CA BECOME FORESTRY AGRICULTURAL ENGINEER AGRICULTURE YEARS NURSE PHARMACY ANAESTHESIA TECHNICIAN CARDIAC DENTAL MECHANIC HEALTH INSPECTOR MEDICAL IMAGE TECH LAB X RAY NUCLEAR MEDICINE OCCUPATIONAL THERAPIST OPERATION THEATRE OPHTHALMIC ASSISTANT PHYSIOTHERAPY RADIOGRAPHIC RADIOTHERAPY REHABILITATION RESPIRATORY THERAPY BLOOD TRANSFUSION MBBS ALLOPATHY BSMS SIDDHA BAMS AYURVEDA BUM UNANI BHMS HOMEOPATHY BNYS NATUROPATHY YOGA BDS BVSC VETERINARY AERONAUTICAL AEROSPACE ARCHITECTURE AUTOMOBILE AUTOMATION ROBOTICS AVIONICS BIO TECHNOLOGY CIVIL CHEMICAL CERAMIC COMPUTER SCIENCE CONSTRUCTION MANAGEMENT ELECTRONICS COMMUNICATION ELECTRICAL ENVIRONMENTAL INFORMATION INDUSTRIAL PRODUCTION INSTRUMENTATION MARINE MECHANICAL MINE MANUFACTURE NAVAL POLYMER SILK CARPET TEXTILE ADVERTISE BA GENERAL CRIMINOLOGY ECONOMICS FINE ARTS FOREIGN LANGUAGES HOME INTERIOR DESIGN JOURNALISM LIBRARY SCIENCES PHYSICAL EDUCATION POLITICAL PSYCHOLOGY SOCIAL WORK SOCIOLOGY TRAVEL TOURISM PARAMEDICAL DIPLOMA UG COURSE CAREER GUIDANCE HUMANITIES FRONT PM V CPT ATC IPCC ITT HOURS ARTICLESHIP CLEAR FINAL
LLB BA+LLB B.Com + LLB BBM+LLB BBA+LLB B.Sc.,LLB
Physics B.Sc.,PHYSICS
Chemistry B.Sc.,CHEMISTRY
Botany B.Sc.,BOTANY
Zoology B.Sc.,ZOOLOGY
Mathematics B.Sc.,MATHEMATICS
Computer Science B.Sc.,COMPUTER SCIENCE
PCM B.Sc.,PCM
CBZ B.Sc.,CBZ
Dietician & Nutritionist B.Sc.,DIETICIAN NUTRITIONIST
Sericulture B.Sc.,SERICULTURE
Oceanography B.Sc.,OCEANOGRAPHY
Meteorology B.Sc.,METEOROLOGY
Anthropology B.Sc.,ANTHROPOLOGY
Forensic Sciences B.Sc.,FORENSIC SCIENCES
Food Technology B.Sc.,FOOD TECHNOLOGY
Dairy Technology B.Sc.,DAIRY TECHNOLOGY
Hotel Management B.Sc.,HOTEL MANAGEMENT
Fashion Design B.Sc.,FASHION DESIGN
Mass Communication B.Sc.,MASS COMMUNICATION
Electronic Media B.Sc.,ELECTRONIC MEDIA
Multimedia B.Sc. 3D Animation B.Sc.,MULTIMEDIA ANIMATION
"Home Science CA – Chartered Accountant CMA Cost Management Accountant CS Company Secretary (Foundation) B.com – Regular B.com – Taxation & Tax Procedure B.com – Travel & Tourism B.com – Bank Management B.com – Professional BBA/BBM – Regular BFM – Bachelors in Financial Markets BMS – Bachelors in Management Studies BAF – Bachelors in Accounting & Finance Certified Stock Broker & Investment Analysis Certified Financial Analyst Certified Financial Planner Certified Investment Banker Law Courses 3.5 years B.Sc., Courses 3 years Business Management Bank Management Event Management Hospital Management Hotel Management Human Resources Management Logistics & Management Management Courses (3 years) Commerce Courses 3 years JOB / Post Graduation Road ahead after 12 ...",HOME SCIENCE CA CHARTER ACCOUNTANT CMA COST MANAGEMENT CS COMPANY SECRETARY FOUNDATION REGULAR TAXATION TAX PROCEDURE TRAVEL TOURISM BANK PROFESSIONAL BBA BBM BFM BACHELOR FINANCIAL MARKET BMS STUDY BAF ACCOUNT FINANCE CERTIFY STOCK BROKER INVESTMENT ANALYSIS ANALYST PLANNER BANKER LAW COURSE YEARS BUSINESS EVENT HOSPITAL HOTEL HUMAN RESOURCES LOGISTICS COMMERCE JOB POST GRADUATION ROAD AHEAD
PLAN th Front page.indd 5 12/3/2022 3:20:55 PM VI E - book Assessment Table of Contents Table of Contents Unit Title Page No.,PLAN FRONT PM VI E BOOK ASSESSMENT TABLE CONTENT UNIT TITLE PAGE NO NOT
Month 1 Laws of Motion 1 June 2 Optics 16 July 3 Thermal Physics 32 August 4 Electricity 42 September 5 Acoustics 59 October 6 Nuclear Physics 74 November 7 Atoms and Molecules 91 June 8 Periodic Classification of Elements 106 July 9 Solutions 124 August 10 Types of Chemical Reactions 137 October 11 Carbon and its Compounds 155 November 12 Plant Anatomy and Plant Physiology 173 June Front page.indd 6 12/3/2022 3:20:55 PM VII Unit Title Page No.,MONTH LAWS MOTION JUNE OPTICS JULY THERMAL PHYSICS AUGUST ELECTRICITY SEPTEMBER ACOUSTICS OCTOBER NUCLEAR NOVEMBER ATOMS MOLECULES PERIODIC CLASSIFICATION ELEMENTS SOLUTIONS TYPE CHEMICAL REACTIONS CARBON COMPOUND PLANT ANATOMY PHYSIOLOGY FRONT PM VII UNIT TITLE PAGE NO NOT
Month 13 Structural Organisation of Animals 187 June 14 Transportation in Plants and Circulation in Animals 200 July 15 Nervous System 218 July 16 Plant and Animal Hormones 229 August 17 Reproduction in Plants and Animals 243 August 18 Genetics 261 September 19 Origin and Evolution of Life 274 October 20 Breeding and Biotechnology 286 October 21 Health and Diseases 300 November 22 Environmental Management 315 November 23 Visual Communication 329 December Practicals 334 Glossary 350 Front page.indd 7 12/3/2022 3:20:55 PM VIII SCIENCE STANDARD TEN Front page.indd 8 12/3/2022 3:20:55 PM 1 INTRODUCTION Human beings are so curious about things around them.,MONTH STRUCTURAL ORGANISATION ANIMALS JUNE TRANSPORTATION PLANT CIRCULATION JULY NERVOUS SYSTEM ANIMAL HORMONES AUGUST REPRODUCTION GENETICS SEPTEMBER ORIGIN EVOLUTION LIFE OCTOBER BREED BIOTECHNOLOGY HEALTH DISEASES NOVEMBER ENVIRONMENTAL MANAGEMENT VISUAL COMMUNICATION DECEMBER PRACTICALS GLOSSARY FRONT PM VIII SCIENCE STANDARD TEN INTRODUCTION HUMAN BEINGS CURIOUS THINGS PAST
Things around us are related to one another.,THING ONE RELATE THINGS PAST
Some bodies are at rest and some are in motion.,BODY REST MOTION
Rest and motion are interrelated terms.,REST MOTION INTERRELATE TERM
